period,LSOA,SHEF_C,report_count,user_count,average
2013-9,E01000812,Environmental Health,1,1,1.0
2013-9,E01000813,Environmental Health,1,1,1.0
2013-9,E01000813,Road Safety & Defects,3,2,1.5
2013-9,E01000816,Environmental Health,1,1,1.0
2013-9,E01000823,Road Safety & Defects,1,1,1.0
2013-9,E01000824,Environmental Disruptions,1,1,1.0
2013-9,E01000830,Road Safety & Defects,1,1,1.0
2013-9,E01000831,Environmental Disruptions,2,1,2.0
2013-9,E01000831,Incivilities,1,1,1.0
2013-9,E01000833,Environmental Disruptions,1,1,1.0
2013-9,E01000835,Road Safety & Defects,1,1,1.0
2013-9,E01000863,Road Safety & Defects,1,1,1.0
2013-9,E01000872,Environmental Disruptions,1,1,1.0
2013-9,E01000872,Incivilities,3,1,3.0
2013-9,E01000872,Road Safety & Defects,2,2,1.0
2013-9,E01000879,Environmental Health,1,1,1.0
2013-9,E01000900,Environmental Health,2,1,2.0
2013-9,E01000908,Environmental Health,4,1,4.0
2013-9,E01000914,Road Safety & Defects,1,1,1.0
2013-9,E01000917,Road Safety & Defects,1,1,1.0
2013-9,E01000919,Environmental Health,1,1,1.0
2013-9,E01000926,Environmental Health,1,1,1.0
2013-9,E01000934,Environmental Health,1,1,1.0
2013-9,E01000935,Environmental Health,1,1,1.0
2013-9,E01000947,Environmental Health,1,1,1.0
2013-9,E01000947,Road Safety & Defects,2,1,2.0
2013-9,E01000956,Road Safety & Defects,1,1,1.0
2013-9,E01000957,Road Safety & Defects,1,1,1.0
2013-9,E01000987,Environmental Health,1,1,1.0
2013-9,E01000995,Environmental Health,1,1,1.0
2013-9,E01001022,Road Safety & Defects,2,1,2.0
2013-9,E01001036,Abandoned Vehicles & Parking,1,1,1.0
2013-9,E01001045,Road Safety & Defects,1,1,1.0
2013-9,E01001061,Environmental Health,1,1,1.0
2013-9,E01001066,Environmental Health,1,1,1.0
2013-9,E01001069,Road Safety & Defects,1,1,1.0
2013-9,E01001074,Environmental Health,1,1,1.0
2013-9,E01001079,Road Safety & Defects,1,1,1.0
2013-9,E01001085,Road Safety & Defects,1,1,1.0
2013-9,E01001086,Environmental Health,11,4,2.75
2013-9,E01001086,Incivilities,1,1,1.0
2013-9,E01001087,Environmental Health,13,4,3.25
2013-9,E01001087,Incivilities,1,1,1.0
2013-9,E01001087,Road Safety & Defects,1,1,1.0
2013-9,E01001089,Environmental Health,3,3,1.0
2013-9,E01001091,Environmental Health,2,1,2.0
2013-9,E01001097,Road Safety & Defects,1,1,1.0
2013-9,E01001116,Environmental Health,1,1,1.0
2013-9,E01001135,Road Safety & Defects,2,2,1.0
2013-9,E01001137,Abandoned Vehicles & Parking,1,1,1.0
2013-9,E01001146,Road Safety & Defects,1,1,1.0
2013-9,E01001155,Road Safety & Defects,1,1,1.0
2013-9,E01001157,Road Safety & Defects,1,1,1.0
2013-9,E01001159,Environmental Health,1,1,1.0
2013-9,E01001161,Environmental Health,1,1,1.0
2013-9,E01001164,Incivilities,1,1,1.0
2013-9,E01001164,Road Safety & Defects,1,1,1.0
2013-9,E01001182,Environmental Health,1,1,1.0
2013-9,E01001188,Abandoned Vehicles & Parking,1,1,1.0
2013-9,E01001191,Abandoned Vehicles & Parking,1,1,1.0
2013-9,E01001228,Environmental Disruptions,1,1,1.0
2013-9,E01001238,Abandoned Vehicles & Parking,1,1,1.0
2013-9,E01001240,Road Safety & Defects,1,1,1.0
2013-9,E01001243,Environmental Health,1,1,1.0
2013-9,E01001258,Environmental Health,1,1,1.0
2013-9,E01001260,Environmental Health,1,1,1.0
2013-9,E01001266,Road Safety & Defects,1,1,1.0
2013-9,E01001276,Environmental Health,1,1,1.0
2013-9,E01001276,Road Safety & Defects,1,1,1.0
2013-9,E01001277,Environmental Health,1,1,1.0
2013-9,E01001277,Road Safety & Defects,2,1,2.0
2013-9,E01001305,Incivilities,1,1,1.0
2013-9,E01001305,Vehicles,1,1,1.0
2013-9,E01001307,Road Safety & Defects,1,1,1.0
2013-9,E01001315,Road Safety & Defects,1,1,1.0
2013-9,E01001334,Road Safety & Defects,1,1,1.0
2013-9,E01001338,Environmental Health,1,1,1.0
2013-9,E01001344,Road Safety & Defects,1,1,1.0
2013-9,E01001351,Road Safety & Defects,1,1,1.0
2013-9,E01001362,Road Safety & Defects,1,1,1.0
2013-9,E01001365,Road Safety & Defects,2,1,2.0
2013-9,E01001365,Vehicles,1,1,1.0
2013-9,E01001367,Road Safety & Defects,1,1,1.0
2013-9,E01001371,Environmental Health,1,1,1.0
2013-9,E01001373,Vehicles,1,1,1.0
2013-9,E01001385,Road Safety & Defects,1,1,1.0
2013-9,E01001387,Environmental Health,1,1,1.0
2013-9,E01001408,Road Safety & Defects,1,1,1.0
2013-9,E01001411,Road Safety & Defects,1,1,1.0
2013-9,E01001452,Environmental Disruptions,1,1,1.0
2013-9,E01001460,Environmental Health,1,1,1.0
2013-9,E01001475,Road Safety & Defects,1,1,1.0
2013-9,E01001477,Road Safety & Defects,1,1,1.0
2013-9,E01001500,Environmental Health,1,1,1.0
2013-9,E01001501,Environmental Health,2,1,2.0
2013-9,E01001521,Road Safety & Defects,1,1,1.0
2013-9,E01001523,Environmental Disruptions,1,1,1.0
2013-9,E01001527,Environmental Health,1,1,1.0
2013-9,E01001528,Road Safety & Defects,2,2,1.0
2013-9,E01001530,Environmental Health,1,1,1.0
2013-9,E01001557,Environmental Health,2,1,2.0
2013-9,E01001559,Environmental Health,2,1,2.0
2013-9,E01001566,Road Safety & Defects,1,1,1.0
2013-9,E01001570,Environmental Health,1,1,1.0
