period,LSOA,SHEF_C,report_count,user_count,average
2015,E01000162,Vehicles,1,1,1.0
2015,E01000163,Environmental Health,3,3,1.0
2015,E01000163,Road Safety & Defects,2,2,1.0
2015,E01000163,Vehicles,3,3,1.0
2015,E01000164,Environmental Disruptions,1,1,1.0
2015,E01000164,Environmental Health,7,6,1.1666666666666667
2015,E01000164,Incivilities,1,1,1.0
2015,E01000164,Road Safety & Defects,4,4,1.0
2015,E01000164,Vehicles,1,1,1.0
2015,E01000165,Environmental Health,3,2,1.5
2015,E01000165,Incivilities,1,1,1.0
2015,E01000166,Environmental Health,3,3,1.0
2015,E01000166,Road Safety & Defects,2,2,1.0
2015,E01000166,Vehicles,2,2,1.0
2015,E01000167,Environmental Health,1,1,1.0
2015,E01000167,Incivilities,1,1,1.0
2015,E01000167,Road Safety & Defects,3,3,1.0
2015,E01000167,Vehicles,3,3,1.0
2015,E01000168,Incivilities,1,1,1.0
2015,E01000168,Road Safety & Defects,6,4,1.5
2015,E01000168,Vehicles,1,1,1.0
2015,E01000169,Road Safety & Defects,8,6,1.3333333333333333
2015,E01000170,Environmental Health,4,1,4.0
2015,E01000170,Road Safety & Defects,10,6,1.6666666666666667
2015,E01000170,Vehicles,1,1,1.0
2015,E01000171,Environmental Disruptions,1,1,1.0
2015,E01000171,Environmental Health,7,4,1.75
2015,E01000171,Road Safety & Defects,10,8,1.25
2015,E01000171,Vehicles,1,1,1.0
2015,E01000172,Environmental Health,2,2,1.0
2015,E01000172,Vehicles,3,3,1.0
2015,E01000173,Environmental Disruptions,1,1,1.0
2015,E01000173,Environmental Health,3,3,1.0
2015,E01000173,Incivilities,1,1,1.0
2015,E01000173,Road Safety & Defects,11,9,1.2222222222222223
2015,E01000173,Vehicles,1,1,1.0
2015,E01000174,Environmental Disruptions,2,2,1.0
2015,E01000174,Environmental Health,5,5,1.0
2015,E01000174,Road Safety & Defects,6,5,1.2
2015,E01000174,Vehicles,1,1,1.0
2015,E01000175,Environmental Disruptions,2,2,1.0
2015,E01000175,Environmental Health,2,2,1.0
2015,E01000175,Road Safety & Defects,2,2,1.0
2015,E01000176,Environmental Health,2,1,2.0
2015,E01000176,Incivilities,1,1,1.0
2015,E01000176,Road Safety & Defects,3,3,1.0
2015,E01000176,Vehicles,1,1,1.0
2015,E01000177,Environmental Health,7,7,1.0
2015,E01000177,Incivilities,5,1,5.0
2015,E01000177,Road Safety & Defects,6,6,1.0
2015,E01000177,Vehicles,2,2,1.0
2015,E01000178,Environmental Health,1,1,1.0
2015,E01000178,Road Safety & Defects,6,6,1.0
2015,E01000178,Vehicles,1,1,1.0
2015,E01000179,Environmental Disruptions,1,1,1.0
2015,E01000179,Environmental Health,2,2,1.0
2015,E01000179,Vehicles,1,1,1.0
2015,E01000180,Environmental Health,1,1,1.0
2015,E01000180,Road Safety & Defects,9,9,1.0
2015,E01000181,Environmental Disruptions,1,1,1.0
2015,E01000181,Environmental Health,3,3,1.0
2015,E01000181,Road Safety & Defects,14,11,1.2727272727272727
2015,E01000182,Environmental Health,4,4,1.0
2015,E01000182,Road Safety & Defects,4,3,1.3333333333333333
