lsoa,reports,unique_users,average_per_user
E01020987,4,4,1.0
E01020988,7,3,2.3333333333333335
E01020990,5,5,1.0
E01020991,4,3,1.3333333333333333
E01020993,1,1,1.0
E01020994,2,1,2.0
E01020996,1,1,1.0
E01020997,1,1,1.0
E01020998,3,3,1.0
E01020999,2,2,1.0
E01021000,3,3,1.0
E01021001,2,2,1.0
E01021002,5,4,1.25
E01021003,5,4,1.25
E01021004,2,2,1.0
E01021005,1,1,1.0
E01021006,3,3,1.0
E01021007,3,3,1.0
E01021008,4,4,1.0
E01021009,2,2,1.0
E01021010,2,2,1.0
E01021011,1,1,1.0
E01021012,1,1,1.0
E01021014,2,2,1.0
E01021015,1,1,1.0
E01021016,2,2,1.0
E01021017,4,3,1.3333333333333333
E01021018,2,2,1.0
E01021019,2,2,1.0
E01021020,2,2,1.0
E01021021,2,2,1.0
E01021022,8,7,1.1428571428571428
E01021023,7,5,1.4
E01021026,13,13,1.0
E01021027,2,2,1.0
E01021028,1,1,1.0
E01021029,2,2,1.0
E01021030,1,1,1.0
E01021031,6,6,1.0
E01021032,5,4,1.25
E01021033,1,1,1.0
E01021034,1,1,1.0
E01021035,8,8,1.0
E01021036,3,3,1.0
E01021037,1,1,1.0
E01021038,5,5,1.0
E01021039,7,7,1.0
E01021040,2,2,1.0
E01021042,3,3,1.0
E01021043,9,8,1.125
E01021044,1,1,1.0
E01021045,3,1,3.0
E01021047,3,3,1.0
E01021048,2,2,1.0
E01021049,4,4,1.0
E01021051,4,4,1.0
E01021052,1,1,1.0
E01021053,1,1,1.0
E01021054,12,12,1.0
E01021055,2,2,1.0
E01021056,3,3,1.0
E01021057,13,11,1.1818181818181819
E01021058,1,1,1.0
E01021059,3,2,1.5
E01021060,2,2,1.0
E01021061,3,2,1.5
E01021064,2,1,2.0
E01021065,1,1,1.0
E01021066,6,2,3.0
E01021067,2,1,2.0
E01021068,6,4,1.5
E01021069,3,3,1.0
E01021070,1,1,1.0
E01021071,3,3,1.0
E01021072,7,4,1.75
E01021073,3,2,1.5
E01021074,2,2,1.0
E01021075,3,3,1.0
E01021076,8,6,1.3333333333333333
E01021077,3,3,1.0
E01021078,1,1,1.0
E01021079,2,2,1.0
E01021080,5,4,1.25
E01021081,2,2,1.0
E01021082,2,2,1.0
E01021083,1,1,1.0
E01021084,8,8,1.0
E01021085,6,4,1.5
E01021086,2,2,1.0
E01021087,17,14,1.2142857142857142
E01021088,6,5,1.2
E01021089,2,2,1.0
E01021090,1,1,1.0
E01021091,4,4,1.0
E01021092,4,4,1.0
E01021093,5,5,1.0
E01021094,2,2,1.0
E01021095,1,1,1.0
E01021096,14,11,1.2727272727272727
E01021097,6,6,1.0
E01021098,2,2,1.0
E01021099,6,6,1.0
E01021100,7,7,1.0
E01021101,10,6,1.6666666666666667
E01021102,3,3,1.0
E01021103,1,1,1.0
E01021104,13,8,1.625
E01021105,4,4,1.0
E01021106,3,3,1.0
E01021107,2,2,1.0
E01021108,3,2,1.5
E01021109,21,16,1.3125
E01021110,6,6,1.0
E01021111,2,1,2.0
E01021112,2,2,1.0
E01021113,1,1,1.0
E01021114,9,6,1.5
E01021115,5,4,1.25
E01021116,10,6,1.6666666666666667
