period,LAD,SHEF_B,report_count,user_count,average
all time,E06000046,Highways Enquiries,205,98,2.0918367346938775
all time,E06000046,Incivilities,13,7,1.8571428571428572
all time,E06000046,Open Spaces/Parks,8,6,1.3333333333333333
all time,E06000046,Other,213,59,3.610169491525424
all time,E06000046,Overgrown/Fallen Veg/Trees,55,12,4.583333333333333
all time,E06000046,Parking,36,32,1.125
all time,E06000046,Pavement /Footway Defects,108,49,2.204081632653061
all time,E06000046,Public Toilets,3,1,3.0
all time,E06000046,Road Safety,91,21,4.333333333333333
all time,E06000046,Road Surface Defects,781,164,4.762195121951219
all time,E06000046,Rubbish,182,57,3.192982456140351
all time,E06000046,Street Furniture,7,7,1.0
all time,E06000046,Street Lights,43,32,1.34375
all time,E06000047,Abandoned Vehicles,71,61,1.1639344262295082
all time,E06000047,Bus Stops Damage,28,24,1.1666666666666667
all time,E06000047,Dog Fouling,187,143,1.3076923076923077
all time,E06000047,Highways Enquiries,477,272,1.7536764705882353
all time,E06000047,Incivilities,80,40,2.0
all time,E06000047,Open Spaces/Parks,99,66,1.5
all time,E06000047,Other,483,322,1.5
all time,E06000047,Overgrown/Fallen Veg/Trees,90,69,1.3043478260869565
all time,E06000047,Parking,188,135,1.3925925925925926
all time,E06000047,Pavement /Footway Defects,386,229,1.685589519650655
all time,E06000047,Public Toilets,2,2,1.0
all time,E06000047,Road Safety,205,58,3.5344827586206895
all time,E06000047,Road Surface Defects,760,385,1.974025974025974
all time,E06000047,Rubbish,1013,335,3.023880597014925
all time,E06000047,Street Furniture,27,20,1.35
all time,E06000047,Street Lights,1034,361,2.8642659279778395
all time,E06000049,Abandoned Vehicles,88,72,1.2222222222222223
all time,E06000049,Bus Stops Damage,16,13,1.2307692307692308
all time,E06000049,Dog Fouling,123,97,1.268041237113402
all time,E06000049,Highways Enquiries,1685,572,2.945804195804196
all time,E06000049,Incivilities,63,46,1.3695652173913044
all time,E06000049,Open Spaces/Parks,84,68,1.2352941176470589
all time,E06000049,Other,529,330,1.603030303030303
all time,E06000049,Overgrown/Fallen Veg/Trees,160,85,1.8823529411764706
all time,E06000049,Parking,186,139,1.3381294964028776
all time,E06000049,Pavement /Footway Defects,584,319,1.8307210031347962
all time,E06000049,Public Toilets,3,3,1.0
all time,E06000049,Road Safety,366,174,2.103448275862069
all time,E06000049,Road Surface Defects,3424,1081,3.1674375578168363
all time,E06000049,Rubbish,918,312,2.9423076923076925
all time,E06000049,Street Furniture,83,57,1.456140350877193
all time,E06000049,Street Lights,1314,577,2.2772963604852685
all time,E06000050,Abandoned Vehicles,49,46,1.065217391304348
all time,E06000050,Bus Stops Damage,16,15,1.0666666666666667
all time,E06000050,Dog Fouling,111,70,1.5857142857142856
all time,E06000050,Highways Enquiries,474,291,1.6288659793814433
all time,E06000050,Incivilities,39,22,1.7727272727272727
all time,E06000050,Open Spaces/Parks,99,49,2.020408163265306
all time,E06000050,Other,224,167,1.341317365269461
all time,E06000050,Overgrown/Fallen Veg/Trees,111,74,1.5
all time,E06000050,Parking,202,82,2.4634146341463414
all time,E06000050,Pavement /Footway Defects,314,185,1.6972972972972973
all time,E06000050,Public Toilets,1,1,1.0
all time,E06000050,Road Safety,210,89,2.359550561797753
all time,E06000050,Road Surface Defects,1153,510,2.26078431372549
all time,E06000050,Rubbish,381,188,2.026595744680851
all time,E06000050,Street Furniture,16,15,1.0666666666666667
all time,E06000050,Street Lights,398,270,1.474074074074074
all time,E06000051,Abandoned Vehicles,38,33,1.1515151515151516
all time,E06000051,Bus Stops Damage,5,4,1.25
all time,E06000051,Dog Fouling,100,37,2.7027027027027026
all time,E06000051,Highways Enquiries,354,203,1.7438423645320198
all time,E06000051,Incivilities,25,14,1.7857142857142858
all time,E06000051,Open Spaces/Parks,26,16,1.625
all time,E06000051,Other,148,110,1.3454545454545455
all time,E06000051,Overgrown/Fallen Veg/Trees,36,29,1.2413793103448276
all time,E06000051,Parking,47,38,1.236842105263158
all time,E06000051,Pavement /Footway Defects,135,82,1.646341463414634
all time,E06000051,Public Toilets,3,3,1.0
all time,E06000051,Right of Way,43,20,2.15
all time,E06000051,Road Safety,104,42,2.4761904761904763
all time,E06000051,Road Surface Defects,1023,435,2.3517241379310345
