period,LAD,report_count,user_count,average
2012-7,E07000116,7,7,1.0
2012-7,E07000117,1,1,1.0
2012-7,E07000118,10,7,1.4285714285714286
2012-7,E07000119,15,12,1.25
2012-7,E07000120,4,3,1.3333333333333333
2012-7,E07000121,21,13,1.6153846153846154
2012-7,E07000122,1,1,1.0
2012-7,E07000123,10,10,1.0
2012-7,E07000124,2,2,1.0
2012-7,E07000125,2,2,1.0
2012-7,E07000126,11,10,1.1
2012-7,E07000127,7,6,1.1666666666666667
2012-7,E07000128,11,7,1.5714285714285714
2012-7,E07000129,2,2,1.0
2012-7,E07000130,7,6,1.1666666666666667
2012-7,E07000131,9,8,1.125
2012-7,E07000132,7,7,1.0
2012-7,E07000133,4,3,1.3333333333333333
2012-7,E07000134,9,7,1.2857142857142858
2012-7,E07000135,2,2,1.0
2012-7,E07000136,6,5,1.2
2012-7,E07000137,19,11,1.7272727272727273
2012-7,E07000138,4,4,1.0
2012-7,E07000139,21,14,1.5
2012-7,E07000140,3,3,1.0
2012-7,E07000141,23,16,1.4375
2012-7,E07000142,12,9,1.3333333333333333
2012-7,E07000143,10,7,1.4285714285714286
2012-7,E07000144,21,11,1.9090909090909092
2012-7,E07000145,18,11,1.6363636363636365
2012-7,E07000146,11,8,1.375
2012-7,E07000147,10,9,1.1111111111111112
2012-7,E07000148,19,12,1.5833333333333333
2012-7,E07000149,13,11,1.1818181818181819
2012-7,E07000150,2,2,1.0
2012-7,E07000151,8,5,1.6
2012-7,E07000152,4,4,1.0
2012-7,E07000153,5,5,1.0
2012-7,E07000154,51,17,3.0
2012-7,E07000155,6,4,1.5
2012-7,E07000156,3,3,1.0
2012-7,E07000163,3,2,1.5
2012-7,E07000164,3,3,1.0
2012-7,E07000165,26,19,1.368421052631579
2012-7,E07000166,2,2,1.0
2012-7,E07000167,5,4,1.25
2012-7,E07000168,6,4,1.5
2012-7,E07000169,2,2,1.0
2012-7,E07000170,4,4,1.0
2012-7,E07000171,4,3,1.3333333333333333
2012-7,E07000172,4,4,1.0
2012-7,E07000173,13,11,1.1818181818181819
2012-7,E07000174,7,5,1.4
2012-7,E07000175,2,2,1.0
2012-7,E07000176,2,2,1.0
2012-7,E07000177,10,9,1.1111111111111112
2012-7,E07000178,6,5,1.2
2012-7,E07000179,52,25,2.08
2012-7,E07000180,21,15,1.4
2012-7,E07000181,8,7,1.1428571428571428
2012-7,E07000187,13,12,1.0833333333333333
2012-7,E07000188,9,9,1.0
2012-7,E07000189,23,14,1.6428571428571428
2012-7,E07000192,5,5,1.0
2012-7,E07000193,11,8,1.375
2012-7,E07000194,18,12,1.5
2012-7,E07000195,18,8,2.25
2012-7,E07000196,11,8,1.375
2012-7,E07000197,9,9,1.0
2012-7,E07000198,6,6,1.0
2012-7,E07000199,7,5,1.4
2012-7,E07000200,7,4,1.75
2012-7,E07000202,14,6,2.3333333333333335
2012-7,E07000203,10,3,3.3333333333333335
2012-7,E07000207,6,6,1.0
2012-7,E07000208,6,5,1.2
2012-7,E07000209,20,18,1.1111111111111112
