lsoa,SHEF_B_CODE,reports,unique_users,average_per_user
E01000722,B1,61,49,1.2448979591836735
E01000723,B1,34,26,1.3076923076923077
E01000724,B1,61,47,1.297872340425532
E01000725,B1,79,65,1.2153846153846153
E01000726,B1,70,50,1.4
E01000727,B1,77,58,1.3275862068965518
E01000728,B1,64,46,1.391304347826087
E01000729,B1,62,41,1.5121951219512195
E01000730,B1,56,45,1.2444444444444445
E01000731,B1,29,25,1.16
E01000732,B1,43,37,1.162162162162162
E01000733,B1,82,58,1.4137931034482758
E01000734,B1,42,35,1.2
E01000735,B1,44,37,1.1891891891891893
E01000736,B1,40,32,1.25
E01000737,B1,39,37,1.054054054054054
E01000738,B1,59,48,1.2291666666666667
E01000739,B1,35,30,1.1666666666666667
E01000740,B1,61,58,1.0517241379310345
E01000741,B1,65,51,1.2745098039215685
E01000742,B1,58,46,1.2608695652173914
E01000743,B1,57,55,1.0363636363636364
E01000744,B1,100,55,1.8181818181818181
E01000745,B1,55,49,1.1224489795918366
E01000746,B1,55,45,1.2222222222222223
E01000747,B1,70,53,1.320754716981132
E01000748,B1,45,37,1.2162162162162162
E01000749,B1,53,43,1.2325581395348837
E01000750,B1,22,16,1.375
E01000751,B1,27,23,1.173913043478261
E01000752,B1,60,50,1.2
E01000753,B1,31,30,1.0333333333333334
E01000754,B1,34,26,1.3076923076923077
E01000755,B1,31,25,1.24
E01000756,B1,32,29,1.103448275862069
E01000757,B1,30,22,1.3636363636363635
E01000758,B1,28,21,1.3333333333333333
E01000759,B1,49,45,1.0888888888888888
E01000760,B1,42,38,1.105263157894737
E01000761,B1,33,28,1.1785714285714286
E01000762,B1,37,32,1.15625
E01000763,B1,29,28,1.0357142857142858
E01000764,B1,35,33,1.0606060606060606
E01000765,B1,75,58,1.293103448275862
E01000766,B1,22,20,1.1
E01000767,B1,40,37,1.0810810810810811
E01000768,B1,35,34,1.0294117647058822
E01000769,B1,32,27,1.1851851851851851
E01000770,B1,76,59,1.2881355932203389
E01000771,B1,76,63,1.2063492063492063
E01000772,B1,55,46,1.1956521739130435
E01000773,B1,54,49,1.1020408163265305
E01000774,B1,78,49,1.5918367346938775
E01000775,B1,58,47,1.2340425531914894
E01000777,B1,30,24,1.25
E01000778,B1,38,25,1.52
E01000779,B1,57,46,1.2391304347826086
E01000780,B1,55,34,1.6176470588235294
E01000781,B1,29,25,1.16
E01000782,B1,38,26,1.4615384615384615
E01000783,B1,37,36,1.0277777777777777
E01000784,B1,52,38,1.368421052631579
E01000785,B1,45,40,1.125
E01000786,B1,39,35,1.1142857142857143
E01000787,B1,52,40,1.3
E01000788,B1,29,27,1.0740740740740742
E01000789,B1,73,51,1.4313725490196079
E01000790,B1,24,23,1.0434782608695652
E01000791,B1,17,15,1.1333333333333333
E01000792,B1,40,31,1.2903225806451613
E01000793,B1,15,13,1.1538461538461537
E01000794,B1,30,26,1.1538461538461537
E01000795,B1,50,36,1.3888888888888888
E01000796,B1,37,25,1.48
E01000797,B1,67,57,1.1754385964912282
E01000798,B1,42,33,1.2727272727272727
E01000799,B1,73,62,1.1774193548387097
E01000800,B1,69,50,1.38
E01000801,B1,51,38,1.3421052631578947
E01000802,B1,60,56,1.0714285714285714
E01000803,B1,57,46,1.2391304347826086
E01000804,B1,91,73,1.2465753424657535
E01000805,B1,58,45,1.288888888888889
E01000806,B1,44,40,1.1
E01000807,B1,47,39,1.205128205128205
E01000808,B1,41,38,1.0789473684210527
E01000809,B1,46,34,1.3529411764705883
E01000810,B1,25,24,1.0416666666666667
E01000811,B1,29,23,1.2608695652173914
E01000812,B1,24,23,1.0434782608695652
E01000813,B1,23,22,1.0454545454545454
E01000814,B1,30,25,1.2
E01000815,B1,16,16,1.0
E01000816,B1,51,43,1.186046511627907
E01000818,B1,48,41,1.170731707317073
E01000819,B1,48,38,1.263157894736842
E01000820,B1,61,47,1.297872340425532
E01000822,B1,35,29,1.206896551724138
E01000823,B1,36,33,1.0909090909090908
E01000824,B1,27,22,1.2272727272727273
E01000825,B1,26,21,1.2380952380952381
E01000826,B1,29,28,1.0357142857142858
E01000827,B1,41,36,1.1388888888888888
E01000828,B1,25,24,1.0416666666666667
E01000829,B1,10,10,1.0
E01000830,B1,15,15,1.0
E01000831,B1,34,30,1.1333333333333333
E01000832,B1,30,28,1.0714285714285714
E01000833,B1,19,15,1.2666666666666666
E01000834,B1,20,15,1.3333333333333333
E01000835,B1,44,37,1.1891891891891893
E01000836,B1,14,13,1.0769230769230769
E01000837,B1,20,18,1.1111111111111112
E01000838,B1,28,27,1.037037037037037
E01000839,B1,28,18,1.5555555555555556
E01000840,B1,50,42,1.1904761904761905
E01000841,B1,63,54,1.1666666666666667
E01000914,B1,1,1,1.0
E01001571,B1,34,27,1.2592592592592593
E01001572,B1,21,17,1.2352941176470589
E01001573,B1,21,17,1.2352941176470589
E01001574,B1,34,32,1.0625
E01001575,B1,26,16,1.625
E01001576,B1,23,15,1.5333333333333334
E01001577,B1,42,35,1.2
E01001578,B1,32,24,1.3333333333333333
E01001579,B1,11,11,1.0
E01001580,B1,43,33,1.303030303030303
E01001581,B1,23,18,1.2777777777777777
E01001582,B1,20,18,1.1111111111111112
E01001583,B1,35,29,1.206896551724138
E01001584,B1,6,6,1.0
E01001585,B1,34,22,1.5454545454545454
E01001586,B1,14,13,1.0769230769230769
E01001587,B1,31,26,1.1923076923076923
E01001588,B1,38,30,1.2666666666666666
E01001589,B1,26,17,1.5294117647058822
E01001590,B1,16,15,1.0666666666666667
E01001591,B1,27,19,1.4210526315789473
E01001592,B1,31,30,1.0333333333333334
E01001593,B1,29,27,1.0740740740740742
E01001594,B1,31,24,1.2916666666666667
E01001595,B1,28,23,1.2173913043478262
E01001596,B1,21,18,1.1666666666666667
E01001597,B1,19,15,1.2666666666666666
E01001598,B1,20,16,1.25
E01001599,B1,34,29,1.1724137931034482
E01001600,B1,16,13,1.2307692307692308
