lad,SHEF_C_CODE,reports,unique_users,average_per_user
E06000033,C3,7,6,1.1666666666666667
E06000034,C3,1,1,1.0
E06000035,C3,30,23,1.3043478260869565
E06000036,C3,3,3,1.0
E06000037,C3,10,9,1.1111111111111112
E06000038,C3,9,7,1.2857142857142858
E06000039,C3,19,6,3.1666666666666665
E06000040,C3,9,8,1.125
E06000041,C3,14,10,1.4
E06000042,C3,8,7,1.1428571428571428
E06000043,C3,12,12,1.0
E06000045,C3,8,7,1.1428571428571428
E06000046,C3,2,2,1.0
E06000047,C3,1,1,1.0
E06000049,C3,1,1,1.0
E06000050,C3,1,1,1.0
E06000051,C3,9,9,1.0
E06000052,C3,16,11,1.4545454545454546
E06000055,C3,4,4,1.0
E06000056,C3,2,2,1.0
E06000057,C3,4,4,1.0
E06000059,C3,3,3,1.0
E06000060,C3,197,136,1.4485294117647058
E07000008,C3,2,1,2.0
E07000009,C3,6,2,3.0
E07000011,C3,3,2,1.5
E07000012,C3,2,2,1.0
E07000026,C3,5,3,1.6666666666666667
E07000027,C3,2,2,1.0
E07000029,C3,2,2,1.0
E07000032,C3,3,3,1.0
E07000033,C3,7,7,1.0
E07000034,C3,11,9,1.2222222222222223
E07000036,C3,10,5,2.0
E07000038,C3,2,2,1.0
E07000039,C3,8,6,1.3333333333333333
E07000040,C3,2,2,1.0
E07000041,C3,2,2,1.0
E07000043,C3,1,1,1.0
E07000044,C3,4,2,2.0
E07000046,C3,2,1,2.0
E07000047,C3,1,1,1.0
E07000061,C3,3,2,1.5
E07000062,C3,5,4,1.25
E07000063,C3,12,12,1.0
E07000064,C3,18,12,1.5
E07000065,C3,24,18,1.3333333333333333
E07000066,C3,1,1,1.0
E07000067,C3,1,1,1.0
E07000068,C3,2,2,1.0
E07000069,C3,4,2,2.0
E07000070,C3,3,2,1.5
E07000071,C3,4,3,1.3333333333333333
E07000072,C3,9,7,1.2857142857142858
E07000073,C3,7,6,1.1666666666666667
E07000075,C3,1,1,1.0
E07000076,C3,2,2,1.0
E07000078,C3,8,8,1.0
E07000079,C3,5,2,2.5
E07000080,C3,5,4,1.25
E07000081,C3,4,4,1.0
E07000082,C3,5,3,1.6666666666666667
E07000083,C3,8,6,1.3333333333333333
E07000084,C3,5,4,1.25
E07000085,C3,14,14,1.0
E07000086,C3,5,5,1.0
E07000087,C3,3,3,1.0
E07000089,C3,14,13,1.0769230769230769
E07000090,C3,4,4,1.0
E07000092,C3,1,1,1.0
E07000093,C3,1,1,1.0
E07000094,C3,5,4,1.25
E07000096,C3,10,9,1.1111111111111112
E07000098,C3,12,9,1.3333333333333333
E07000099,C3,7,6,1.1666666666666667
E07000102,C3,1,1,1.0
E07000103,C3,4,3,1.3333333333333333
E07000105,C3,3,3,1.0
E07000106,C3,2,2,1.0
E07000107,C3,1,1,1.0
E07000108,C3,1,1,1.0
E07000109,C3,4,4,1.0
E07000110,C3,1,1,1.0
E07000111,C3,19,14,1.3571428571428572
E07000112,C3,34,8,4.25
E07000113,C3,12,9,1.3333333333333333
E07000115,C3,5,4,1.25
E07000116,C3,11,5,2.2
E07000117,C3,1,1,1.0
E07000118,C3,6,4,1.5
E07000119,C3,1,1,1.0
E07000120,C3,4,4,1.0
E07000121,C3,19,10,1.9
