period,LAD,SHEF_C,report_count,user_count,average
2011,E06000015,Environmental Health,37,26,1.4230769230769231
2011,E06000015,Incivilities,9,4,2.25
2011,E06000015,Other,8,8,1.0
2011,E06000015,Public Space,3,2,1.5
2011,E06000015,Road Safety & Defects,60,44,1.3636363636363635
2011,E06000015,Vehicles,8,5,1.6
2011,E06000016,Abandoned Vehicles & Parking,11,8,1.375
2011,E06000016,Environmental Disruptions,1,1,1.0
2011,E06000016,Environmental Health,32,24,1.3333333333333333
2011,E06000016,Incivilities,5,4,1.25
2011,E06000016,Other,16,13,1.2307692307692308
2011,E06000016,Public Space,1,1,1.0
2011,E06000016,Road Safety & Defects,130,57,2.280701754385965
2011,E06000016,Vehicles,3,3,1.0
2011,E06000017,Environmental Health,3,2,1.5
2011,E06000017,Other,2,2,1.0
2011,E06000017,Public Space,1,1,1.0
2011,E06000017,Road Safety & Defects,27,10,2.7
2011,E06000018,Abandoned Vehicles & Parking,6,6,1.0
2011,E06000018,Environmental Disruptions,10,6,1.6666666666666667
2011,E06000018,Environmental Health,83,36,2.3055555555555554
2011,E06000018,Incivilities,55,14,3.9285714285714284
2011,E06000018,Other,14,14,1.0
2011,E06000018,Public Space,3,2,1.5
2011,E06000018,Road Safety & Defects,99,49,2.020408163265306
2011,E06000018,Vehicles,2,2,1.0
2011,E06000019,Access,2,2,1.0
2011,E06000019,Environmental Disruptions,5,5,1.0
2011,E06000019,Environmental Health,15,10,1.5
2011,E06000019,Incivilities,7,3,2.3333333333333335
2011,E06000019,Other,11,9,1.2222222222222223
2011,E06000019,Public Space,1,1,1.0
2011,E06000019,Road Safety & Defects,155,65,2.3846153846153846
2011,E06000020,Abandoned Vehicles & Parking,18,10,1.8
2011,E06000020,Environmental Disruptions,8,4,2.0
2011,E06000020,Environmental Health,47,26,1.8076923076923077
2011,E06000020,Incivilities,25,3,8.333333333333334
2011,E06000020,Other,14,12,1.1666666666666667
2011,E06000020,Public Space,4,4,1.0
2011,E06000020,Road Safety & Defects,191,65,2.9384615384615387
2011,E06000020,Vehicles,1,1,1.0
2011,E06000021,Abandoned Vehicles & Parking,9,9,1.0
2011,E06000021,Environmental Disruptions,6,5,1.2
2011,E06000021,Environmental Health,64,37,1.7297297297297298
2011,E06000021,Incivilities,2,2,1.0
2011,E06000021,Other,33,23,1.434782608695652
2011,E06000021,Public Space,8,3,2.6666666666666665
2011,E06000021,Road Safety & Defects,186,79,2.3544303797468356
2011,E06000021,Vehicles,7,5,1.4
2011,E06000022,Abandoned Vehicles & Parking,2,2,1.0
2011,E06000022,Environmental Disruptions,3,3,1.0
2011,E06000022,Environmental Health,11,10,1.1
2011,E06000022,Incivilities,5,2,2.5
2011,E06000022,Other,6,5,1.2
2011,E06000022,Public Space,1,1,1.0
2011,E06000022,Road Safety & Defects,68,38,1.7894736842105263
2011,E06000022,Vehicles,2,2,1.0
2011,E06000023,Abandoned Vehicles & Parking,29,27,1.0740740740740742
2011,E06000023,Access,1,1,1.0
2011,E06000023,Environmental Disruptions,11,9,1.2222222222222223
2011,E06000023,Environmental Health,102,68,1.5
2011,E06000023,Incivilities,52,13,4.0
2011,E06000023,Other,42,34,1.2352941176470589
2011,E06000023,Public Space,4,4,1.0
2011,E06000023,Road Safety & Defects,217,120,1.8083333333333333
2011,E06000023,Vehicles,12,12,1.0
2011,E06000024,Abandoned Vehicles & Parking,8,7,1.1428571428571428
2011,E06000024,Environmental Disruptions,9,7,1.2857142857142858
2011,E06000024,Environmental Health,12,11,1.0909090909090908
2011,E06000024,Incivilities,7,3,2.3333333333333335
2011,E06000024,Other,10,9,1.1111111111111112
2011,E06000024,Public Space,1,1,1.0
2011,E06000024,Road Safety & Defects,210,102,2.0588235294117645
2011,E06000024,Vehicles,7,5,1.4
2011,E06000025,Abandoned Vehicles & Parking,5,5,1.0
2011,E06000025,Environmental Disruptions,2,2,1.0
