period,LAD,SHEF_C,report_count,user_count,average
2009-12,E07000042,Environmental Health,1,1,1.0
2009-12,E07000042,Other,3,3,1.0
2009-12,E07000042,Road Safety & Defects,2,2,1.0
2009-12,E07000043,Abandoned Vehicles & Parking,1,1,1.0
2009-12,E07000043,Environmental Health,2,2,1.0
2009-12,E07000043,Other,3,3,1.0
2009-12,E07000043,Road Safety & Defects,3,3,1.0
2009-12,E07000043,Vehicles,1,1,1.0
2009-12,E07000044,Road Safety & Defects,4,4,1.0
2009-12,E07000045,Environmental Disruptions,1,1,1.0
2009-12,E07000045,Other,12,12,1.0
2009-12,E07000045,Road Safety & Defects,14,11,1.2727272727272727
2009-12,E07000046,Environmental Health,10,3,3.3333333333333335
2009-12,E07000046,Road Safety & Defects,5,2,2.5
2009-12,E07000048,Environmental Health,1,1,1.0
2009-12,E07000048,Other,4,2,2.0
2009-12,E07000048,Road Safety & Defects,1,1,1.0
2009-12,E07000049,Road Safety & Defects,2,1,2.0
2009-12,E07000050,Environmental Disruptions,2,1,2.0
2009-12,E07000050,Road Safety & Defects,3,2,1.5
2009-12,E07000051,Road Safety & Defects,3,3,1.0
2009-12,E07000052,Road Safety & Defects,2,2,1.0
2009-12,E07000061,Environmental Health,2,2,1.0
2009-12,E07000062,Environmental Health,1,1,1.0
2009-12,E07000062,Road Safety & Defects,2,2,1.0
2009-12,E07000063,Other,1,1,1.0
2009-12,E07000063,Road Safety & Defects,7,6,1.1666666666666667
2009-12,E07000064,Other,1,1,1.0
2009-12,E07000064,Road Safety & Defects,1,1,1.0
2009-12,E07000065,Abandoned Vehicles & Parking,1,1,1.0
2009-12,E07000065,Road Safety & Defects,7,5,1.4
2009-12,E07000066,Road Safety & Defects,2,2,1.0
2009-12,E07000067,Road Safety & Defects,2,2,1.0
2009-12,E07000068,Abandoned Vehicles & Parking,4,1,4.0
2009-12,E07000068,Other,3,1,3.0
2009-12,E07000068,Road Safety & Defects,1,1,1.0
2009-12,E07000069,Road Safety & Defects,1,1,1.0
2009-12,E07000070,Environmental Disruptions,1,1,1.0
2009-12,E07000070,Other,2,2,1.0
2009-12,E07000070,Road Safety & Defects,6,4,1.5
2009-12,E07000071,Other,1,1,1.0
2009-12,E07000071,Road Safety & Defects,6,4,1.5
2009-12,E07000072,Environmental Health,1,1,1.0
2009-12,E07000072,Road Safety & Defects,3,2,1.5
2009-12,E07000073,Environmental Health,1,1,1.0
2009-12,E07000073,Other,1,1,1.0
2009-12,E07000074,Environmental Disruptions,1,1,1.0
2009-12,E07000074,Road Safety & Defects,1,1,1.0
2009-12,E07000075,Abandoned Vehicles & Parking,1,1,1.0
2009-12,E07000075,Road Safety & Defects,3,3,1.0
2009-12,E07000077,Abandoned Vehicles & Parking,1,1,1.0
2009-12,E07000077,Environmental Health,1,1,1.0
2009-12,E07000077,Road Safety & Defects,5,1,5.0
2009-12,E07000078,Environmental Health,3,3,1.0
2009-12,E07000078,Other,1,1,1.0
2009-12,E07000078,Public Space,1,1,1.0
2009-12,E07000078,Road Safety & Defects,23,16,1.4375
2009-12,E07000079,Road Safety & Defects,1,1,1.0
2009-12,E07000080,Environmental Health,1,1,1.0
2009-12,E07000080,Road Safety & Defects,2,2,1.0
2009-12,E07000081,Other,3,2,1.5
2009-12,E07000081,Public Space,1,1,1.0
2009-12,E07000081,Road Safety & Defects,1,1,1.0
2009-12,E07000082,Road Safety & Defects,2,1,2.0
2009-12,E07000083,Environmental Health,2,2,1.0
2009-12,E07000083,Other,1,1,1.0
2009-12,E07000083,Road Safety & Defects,7,5,1.4
2009-12,E07000084,Abandoned Vehicles & Parking,1,1,1.0
2009-12,E07000084,Environmental Disruptions,1,1,1.0
2009-12,E07000084,Environmental Health,4,2,2.0
2009-12,E07000084,Incivilities,2,1,2.0
2009-12,E07000084,Road Safety & Defects,3,2,1.5
2009-12,E07000084,Vehicles,1,1,1.0
2009-12,E07000085,Environmental Health,2,1,2.0
2009-12,E07000085,Road Safety & Defects,6,4,1.5
2009-12,E07000086,Road Safety & Defects,1,1,1.0
2009-12,E07000087,Road Safety & Defects,1,1,1.0
2009-12,E07000087,Vehicles,1,1,1.0
2009-12,E07000088,Road Safety & Defects,1,1,1.0
2009-12,E07000089,Road Safety & Defects,7,5,1.4
2009-12,E07000090,Road Safety & Defects,1,1,1.0
2009-12,E07000091,Abandoned Vehicles & Parking,1,1,1.0
