period,LAD,SHEF_C_CODE,report_count,user_count,average
2007-6,E09000009,C4,3,2,1.5
2007-6,E09000009,C5,4,2,2.0
2007-6,E09000009,C7,3,3,1.0
2007-6,E09000009,C8,1,1,1.0
2007-6,E09000010,C2,1,1,1.0
2007-6,E09000010,C7,1,1,1.0
2007-6,E09000011,C3,3,2,1.5
2007-6,E09000011,C4,3,3,1.0
2007-6,E09000011,C5,1,1,1.0
2007-6,E09000011,C6,2,2,1.0
2007-6,E09000011,C7,3,3,1.0
2007-6,E09000011,C8,3,3,1.0
2007-6,E09000012,C3,1,1,1.0
2007-6,E09000012,C4,1,1,1.0
2007-6,E09000012,C5,1,1,1.0
2007-6,E09000013,C3,3,3,1.0
2007-6,E09000013,C4,2,1,2.0
2007-6,E09000013,C5,2,2,1.0
2007-6,E09000013,C6,1,1,1.0
2007-6,E09000013,C7,1,1,1.0
2007-6,E09000014,C2,1,1,1.0
2007-6,E09000014,C3,3,3,1.0
2007-6,E09000014,C4,3,3,1.0
2007-6,E09000014,C5,2,2,1.0
2007-6,E09000014,C7,1,1,1.0
2007-6,E09000014,C8,2,2,1.0
2007-6,E09000015,C2,1,1,1.0
2007-6,E09000015,C5,1,1,1.0
2007-6,E09000015,C6,1,1,1.0
2007-6,E09000015,C7,1,1,1.0
2007-6,E09000015,C8,2,2,1.0
2007-6,E09000016,C5,1,1,1.0
2007-6,E09000017,C3,2,2,1.0
2007-6,E09000017,C4,2,2,1.0
2007-6,E09000017,C7,1,1,1.0
2007-6,E09000017,C8,1,1,1.0
2007-6,E09000018,C2,3,2,1.5
2007-6,E09000018,C3,1,1,1.0
2007-6,E09000018,C5,3,3,1.0
2007-6,E09000018,C7,1,1,1.0
2007-6,E09000018,C8,1,1,1.0
2007-6,E09000019,C3,19,2,9.5
2007-6,E09000019,C4,5,1,5.0
2007-6,E09000019,C5,2,2,1.0
2007-6,E09000019,C6,6,1,6.0
2007-6,E09000019,C7,6,3,2.0
2007-6,E09000021,C7,1,1,1.0
2007-6,E09000022,C3,1,1,1.0
2007-6,E09000022,C4,1,1,1.0
2007-6,E09000022,C5,2,2,1.0
2007-6,E09000022,C7,2,2,1.0
2007-6,E09000023,C3,6,4,1.5
2007-6,E09000023,C5,1,1,1.0
2007-6,E09000023,C7,1,1,1.0
2007-6,E09000023,C8,2,2,1.0
2007-6,E09000024,C3,2,2,1.0
2007-6,E09000024,C4,1,1,1.0
2007-6,E09000025,C3,3,3,1.0
2007-6,E09000025,C7,1,1,1.0
2007-6,E09000026,C3,2,2,1.0
2007-6,E09000026,C5,3,2,1.5
2007-6,E09000026,C7,1,1,1.0
2007-6,E09000027,C3,2,2,1.0
2007-6,E09000027,C7,3,2,1.5
2007-6,E09000028,C3,5,2,2.5
2007-6,E09000028,C4,1,1,1.0
2007-6,E09000028,C5,1,1,1.0
2007-6,E09000028,C7,6,2,3.0
2007-6,E09000030,C4,1,1,1.0
2007-6,E09000030,C5,1,1,1.0
2007-6,E09000031,C3,1,1,1.0
2007-6,E09000031,C4,1,1,1.0
2007-6,E09000031,C5,1,1,1.0
2007-6,E09000031,C8,1,1,1.0
2007-6,E09000032,C2,3,1,3.0
2007-6,E09000032,C3,6,5,1.2
2007-6,E09000032,C4,1,1,1.0
2007-6,E09000032,C7,1,1,1.0
2007-6,E09000032,C8,2,2,1.0
2007-6,E09000033,C5,1,1,1.0
2007-6,E09000033,C7,2,2,1.0
2007-6,S12000010,C7,1,1,1.0
2007-6,S12000015,C3,3,3,1.0
2007-6,S12000015,C7,2,2,1.0
2007-6,S12000015,C8,1,1,1.0
2007-6,S12000017,C3,1,1,1.0
2007-6,S12000017,C5,1,1,1.0
2007-6,S12000017,C8,1,1,1.0
2007-6,S12000018,C4,1,1,1.0
2007-6,S12000018,C7,1,1,1.0
2007-6,S12000028,C5,1,1,1.0
2007-6,S12000029,C3,1,1,1.0
2007-6,S12000029,C7,1,1,1.0
2007-6,S12000030,C2,1,1,1.0
2007-6,S12000030,C3,2,1,2.0
2007-6,S12000030,C5,2,2,1.0
2007-6,S12000030,C7,1,1,1.0
2007-6,S12000035,C3,1,1,1.0
2007-6,S12000035,C7,3,3,1.0
2007-6,S12000036,C3,3,2,1.5
2007-6,S12000036,C4,6,2,3.0
2007-6,S12000036,C5,4,2,2.0
2007-6,S12000036,C6,1,1,1.0
2007-6,S12000036,C7,7,5,1.4
2007-6,S12000036,C8,2,2,1.0
2007-6,S12000038,C2,1,1,1.0
2007-6,S12000038,C7,1,1,1.0
2007-6,S12000040,C8,3,1,3.0
2007-6,S12000041,C3,1,1,1.0
2007-6,S12000042,C4,1,1,1.0
2007-6,S12000042,C5,1,1,1.0
2007-6,S12000044,C3,2,2,1.0
2007-6,S12000045,C5,1,1,1.0
2007-6,S12000045,C6,1,1,1.0
