period,LAD,SHEF_C_CODE,report_count,user_count,average
2016,E06000032,C3,801,133,6.022556390977444
2016,E06000032,C4,12,6,2.0
2016,E06000032,C5,144,40,3.6
2016,E06000032,C6,25,15,1.6666666666666667
2016,E06000032,C7,203,97,2.0927835051546393
2016,E06000032,C8,201,98,2.0510204081632653
2016,E06000033,C2,9,8,1.125
2016,E06000033,C3,92,47,1.9574468085106382
2016,E06000033,C4,5,3,1.6666666666666667
2016,E06000033,C5,140,71,1.971830985915493
2016,E06000033,C6,3,3,1.0
2016,E06000033,C8,25,23,1.0869565217391304
2016,E06000034,C2,4,4,1.0
2016,E06000034,C3,68,31,2.193548387096774
2016,E06000034,C4,3,3,1.0
2016,E06000034,C5,25,15,1.6666666666666667
2016,E06000034,C6,9,8,1.125
2016,E06000034,C7,176,69,2.550724637681159
2016,E06000034,C8,28,24,1.1666666666666667
2016,E06000035,C2,11,9,1.2222222222222223
2016,E06000035,C3,113,54,2.0925925925925926
2016,E06000035,C4,1,1,1.0
2016,E06000035,C5,27,21,1.2857142857142858
2016,E06000035,C6,10,6,1.6666666666666667
2016,E06000035,C7,92,57,1.6140350877192982
2016,E06000035,C8,63,53,1.1886792452830188
2016,E06000036,C2,15,14,1.0714285714285714
2016,E06000036,C3,58,28,2.0714285714285716
2016,E06000036,C4,7,5,1.4
2016,E06000036,C5,32,28,1.1428571428571428
2016,E06000036,C6,21,17,1.2352941176470589
2016,E06000036,C7,203,107,1.897196261682243
2016,E06000036,C8,44,35,1.2571428571428571
2016,E06000037,,33,22,1.5
2016,E06000037,C1,67,40,1.675
2016,E06000037,C2,7,6,1.1666666666666667
2016,E06000037,C3,27,19,1.4210526315789473
2016,E06000037,C6,2,2,1.0
2016,E06000037,C7,125,72,1.7361111111111112
2016,E06000037,C8,2,2,1.0
2016,E06000038,C1,1,1,1.0
2016,E06000038,C2,20,16,1.25
2016,E06000038,C3,91,58,1.5689655172413792
2016,E06000038,C4,4,3,1.3333333333333333
2016,E06000038,C5,51,34,1.5
2016,E06000038,C6,14,6,2.3333333333333335
2016,E06000038,C7,393,186,2.1129032258064515
2016,E06000038,C8,54,42,1.2857142857142858
2016,E06000039,C2,3,3,1.0
2016,E06000039,C3,67,34,1.9705882352941178
2016,E06000039,C4,4,2,2.0
2016,E06000039,C5,16,14,1.1428571428571428
2016,E06000039,C6,8,6,1.3333333333333333
2016,E06000039,C7,87,52,1.6730769230769231
2016,E06000039,C8,26,22,1.1818181818181819
2016,E06000040,C1,1,1,1.0
2016,E06000040,C2,16,16,1.0
2016,E06000040,C3,72,55,1.309090909090909
2016,E06000040,C4,4,3,1.3333333333333333
2016,E06000040,C5,31,28,1.1071428571428572
2016,E06000040,C6,11,8,1.375
2016,E06000040,C7,354,165,2.1454545454545455
2016,E06000040,C8,61,43,1.4186046511627908
2016,E06000041,C2,19,17,1.1176470588235294
2016,E06000041,C3,117,62,1.8870967741935485
2016,E06000041,C4,14,11,1.2727272727272727
2016,E06000041,C5,56,47,1.1914893617021276
2016,E06000041,C6,28,21,1.3333333333333333
2016,E06000041,C7,335,166,2.0180722891566263
2016,E06000041,C8,32,30,1.0666666666666667
2016,E06000042,C2,12,11,1.0909090909090908
2016,E06000042,C3,78,45,1.7333333333333334
2016,E06000042,C4,11,6,1.8333333333333333
2016,E06000042,C5,30,27,1.1111111111111112
2016,E06000042,C6,9,8,1.125
2016,E06000042,C7,366,128,2.859375
2016,E06000042,C8,26,24,1.0833333333333333
2016,E06000043,C2,21,21,1.0
2016,E06000043,C3,152,71,2.140845070422535
2016,E06000043,C4,20,11,1.8181818181818181
2016,E06000043,C5,107,81,1.3209876543209877
2016,E06000043,C7,175,100,1.75
2016,E06000043,C8,53,39,1.358974358974359
2016,E06000044,C3,12,12,1.0
2016,E06000044,C5,7,7,1.0
2016,E06000044,C6,2,2,1.0
2016,E06000044,C7,18,15,1.2
2016,E06000044,C8,16,14,1.1428571428571428
2016,E06000045,C1,7,6,1.1666666666666667
2016,E06000045,C2,125,60,2.0833333333333335
2016,E06000045,C3,316,101,3.128712871287129
2016,E06000045,C4,46,31,1.4838709677419355
2016,E06000045,C5,111,91,1.2197802197802199
2016,E06000045,C7,443,187,2.3689839572192515
2016,E06000045,C8,124,95,1.305263157894737
2016,E06000046,C2,6,5,1.2
2016,E06000046,C3,26,11,2.3636363636363638
2016,E06000046,C4,3,2,1.5
2016,E06000046,C5,18,11,1.6363636363636365
2016,E06000046,C7,126,38,3.3157894736842106
2016,E06000046,C8,13,13,1.0
2016,E06000047,C2,27,24,1.125
2016,E06000047,C3,304,83,3.6626506024096384
2016,E06000047,C4,12,10,1.2
2016,E06000047,C5,50,35,1.4285714285714286
2016,E06000047,C6,19,11,1.7272727272727273
2016,E06000047,C7,585,161,3.6335403726708075
2016,E06000047,C8,68,48,1.4166666666666667
2016,E06000049,C2,36,27,1.3333333333333333
2016,E06000049,C3,139,69,2.0144927536231885
2016,E06000049,C4,6,5,1.2
2016,E06000049,C5,82,55,1.490909090909091
2016,E06000049,C6,11,11,1.0
2016,E06000049,C7,918,327,2.8073394495412844
2016,E06000049,C8,51,39,1.3076923076923077
2016,E06000050,C2,30,23,1.3043478260869565
2016,E06000050,C3,62,37,1.6756756756756757
2016,E06000050,C4,3,3,1.0
2016,E06000050,C5,24,23,1.0434782608695652
2016,E06000050,C6,15,10,1.5
2016,E06000050,C7,245,153,1.6013071895424837
2016,E06000050,C8,33,27,1.2222222222222223
2016,E06000051,C1,8,7,1.1428571428571428
2016,E06000051,C2,4,4,1.0
2016,E06000051,C3,21,16,1.3125
2016,E06000051,C5,16,14,1.1428571428571428
2016,E06000051,C6,3,2,1.5
2016,E06000051,C7,199,82,2.426829268292683
2016,E06000051,C8,14,14,1.0
2016,E06000052,C1,3,2,1.5
2016,E06000052,C2,34,30,1.1333333333333333
2016,E06000052,C3,120,74,1.6216216216216217
2016,E06000052,C4,6,5,1.2
2016,E06000052,C5,54,47,1.148936170212766
2016,E06000052,C6,12,12,1.0
2016,E06000052,C7,464,224,2.0714285714285716
2016,E06000052,C8,64,51,1.2549019607843137
2016,E06000054,C2,1,1,1.0
2016,E06000054,C3,26,24,1.0833333333333333
2016,E06000054,C4,1,1,1.0
2016,E06000054,C5,16,15,1.0666666666666667
2016,E06000054,C6,3,3,1.0
2016,E06000054,C7,176,122,1.4426229508196722
2016,E06000054,C8,6,6,1.0
2016,E06000055,C1,1,1,1.0
2016,E06000055,C2,14,13,1.0769230769230769
2016,E06000055,C3,48,21,2.2857142857142856
2016,E06000055,C4,1,1,1.0
2016,E06000055,C5,18,12,1.5
2016,E06000055,C6,8,7,1.1428571428571428
2016,E06000055,C7,151,68,2.2205882352941178
2016,E06000055,C8,31,28,1.1071428571428572
2016,E06000056,C1,6,6,1.0
2016,E06000056,C2,39,33,1.1818181818181819
2016,E06000056,C3,176,83,2.1204819277108435
2016,E06000056,C4,11,5,2.2
2016,E06000056,C5,62,47,1.3191489361702127
2016,E06000056,C6,17,14,1.2142857142857142
2016,E06000056,C7,494,244,2.0245901639344264
2016,E06000056,C8,118,94,1.2553191489361701
2016,E06000057,C1,1,1,1.0
2016,E06000057,C2,11,9,1.2222222222222223
2016,E06000057,C3,67,40,1.675
2016,E06000057,C4,2,2,1.0
2016,E06000057,C5,39,35,1.1142857142857143
2016,E06000057,C6,6,6,1.0
2016,E06000057,C7,279,125,2.232
2016,E06000057,C8,21,20,1.05
2016,E07000004,C2,13,10,1.3
2016,E07000004,C3,44,32,1.375
2016,E07000004,C4,24,2,12.0
2016,E07000004,C5,44,34,1.2941176470588236
2016,E07000004,C6,5,4,1.25
2016,E07000004,C7,411,224,1.8348214285714286
2016,E07000004,C8,37,35,1.0571428571428572
2016,E07000005,C2,11,9,1.2222222222222223
2016,E07000005,C3,43,22,1.9545454545454546
2016,E07000005,C4,3,2,1.5
2016,E07000005,C5,16,14,1.1428571428571428
2016,E07000005,C6,3,2,1.5
2016,E07000005,C7,227,132,1.7196969696969697
2016,E07000005,C8,14,13,1.0769230769230769
2016,E07000006,C2,14,12,1.1666666666666667
2016,E07000006,C3,50,30,1.6666666666666667
2016,E07000006,C5,26,14,1.8571428571428572
2016,E07000006,C6,4,4,1.0
2016,E07000006,C7,307,177,1.734463276836158
2016,E07000006,C8,26,20,1.3
2016,E07000007,C1,1,1,1.0
2016,E07000007,C2,34,20,1.7
2016,E07000007,C3,51,33,1.5454545454545454
2016,E07000007,C4,1,1,1.0
2016,E07000007,C5,35,32,1.09375
2016,E07000007,C6,3,3,1.0
2016,E07000007,C7,397,200,1.985
2016,E07000007,C8,28,18,1.5555555555555556
2016,E07000008,C1,1,1,1.0
