lsoa,SHEF_A_CODE,reports,unique_users,average_per_user
E01000772,A1,8,8,1.0
E01000773,A1,8,8,1.0
E01000774,A1,8,6,1.3333333333333333
E01000775,A1,5,5,1.0
E01000777,A1,3,3,1.0
E01000778,A1,2,2,1.0
E01000779,A1,6,6,1.0
E01000780,A1,4,3,1.3333333333333333
E01000781,A1,4,3,1.3333333333333333
E01000782,A1,3,3,1.0
E01000783,A1,4,4,1.0
E01000784,A1,5,4,1.25
E01000785,A1,8,7,1.1428571428571428
E01000786,A1,3,3,1.0
E01000787,A1,5,5,1.0
E01000788,A1,9,8,1.125
E01000789,A1,10,9,1.1111111111111112
E01000790,A1,5,5,1.0
E01000791,A1,3,2,1.5
E01000792,A1,7,7,1.0
E01000793,A1,5,5,1.0
E01000794,A1,8,7,1.1428571428571428
E01000795,A1,5,4,1.25
E01000796,A1,2,2,1.0
