period,LSOA,SHEF_B,report_count,user_count,average
2015,E01000073,Highways Enquiries,1,1,1.0
2015,E01000073,Other,1,1,1.0
2015,E01000075,Street Lights,2,1,2.0
2015,E01000076,Parking,1,1,1.0
2015,E01000080,Rubbish,1,1,1.0
2015,E01000080,Street Lights,1,1,1.0
2015,E01000081,Parking,1,1,1.0
2015,E01000082,Open Spaces/Parks,1,1,1.0
2015,E01000082,Street Lights,1,1,1.0
2015,E01000083,Other,1,1,1.0
2015,E01000088,Rubbish,1,1,1.0
2015,E01000090,Road Surface Defects,1,1,1.0
2015,E01000091,Highways Enquiries,1,1,1.0
2015,E01000091,Open Spaces/Parks,1,1,1.0
2015,E01000091,Road Surface Defects,1,1,1.0
2015,E01000092,Abandoned Vehicles,1,1,1.0
2015,E01000092,Highways Enquiries,1,1,1.0
2015,E01000092,Road Surface Defects,2,1,2.0
2015,E01000093,Road Surface Defects,2,1,2.0
2015,E01000094,Highways Enquiries,1,1,1.0
2015,E01000095,Highways Enquiries,2,2,1.0
2015,E01000095,Parking,1,1,1.0
2015,E01000095,Pavement /Footway Defects,2,2,1.0
2015,E01000095,Road Safety,2,2,1.0
2015,E01000095,Road Surface Defects,2,1,2.0
2015,E01000095,Rubbish,5,2,2.5
2015,E01000097,Abandoned Vehicles,1,1,1.0
2015,E01000099,Abandoned Vehicles,1,1,1.0
2015,E01000100,Rubbish,4,1,4.0
2015,E01000102,Rubbish,2,1,2.0
2015,E01000103,Street Lights,1,1,1.0
2015,E01000104,Rubbish,1,1,1.0
2015,E01000108,Street Lights,1,1,1.0
2015,E01000109,Street Lights,1,1,1.0
2015,E01000110,Highways Enquiries,1,1,1.0
2015,E01000112,Street Lights,1,1,1.0
2015,E01000113,Road Surface Defects,1,1,1.0
2015,E01000114,Abandoned Vehicles,1,1,1.0
2015,E01000114,Rubbish,1,1,1.0
2015,E01000115,Highways Enquiries,8,1,8.0
2015,E01000115,Pavement /Footway Defects,1,1,1.0
2015,E01000115,Road Surface Defects,4,3,1.3333333333333333
2015,E01000116,Abandoned Vehicles,1,1,1.0
2015,E01000116,Highways Enquiries,3,3,1.0
2015,E01000116,Pavement /Footway Defects,6,3,2.0
2015,E01000116,Road Surface Defects,3,2,1.5
2015,E01000116,Rubbish,3,3,1.0
2015,E01000116,Street Lights,1,1,1.0
2015,E01000117,Overgrown/Fallen Veg/Trees,1,1,1.0
2015,E01000117,Pavement /Footway Defects,3,2,1.5
2015,E01000117,Road Surface Defects,2,2,1.0
2015,E01000117,Rubbish,5,3,1.6666666666666667
2015,E01000117,Street Lights,1,1,1.0
2015,E01000118,Rubbish,1,1,1.0
2015,E01000119,Road Surface Defects,1,1,1.0
2015,E01000120,Highways Enquiries,1,1,1.0
2015,E01000120,Pavement /Footway Defects,1,1,1.0
2015,E01000120,Rubbish,1,1,1.0
2015,E01000121,Abandoned Vehicles,1,1,1.0
2015,E01000121,Highways Enquiries,4,4,1.0
2015,E01000121,Pavement /Footway Defects,1,1,1.0
2015,E01000121,Rubbish,5,4,1.25
2015,E01000122,Parking,1,1,1.0
2015,E01000122,Street Lights,1,1,1.0
2015,E01000123,Drainage,1,1,1.0
2015,E01000123,Highways Enquiries,2,2,1.0
2015,E01000123,Overgrown/Fallen Veg/Trees,2,1,2.0
2015,E01000123,Rubbish,1,1,1.0
2015,E01000124,Abandoned Vehicles,1,1,1.0
2015,E01000124,Highways Enquiries,2,2,1.0
2015,E01000124,Pavement /Footway Defects,2,2,1.0
2015,E01000124,Rubbish,4,4,1.0
2015,E01000125,Abandoned Vehicles,1,1,1.0
2015,E01000125,Drainage,1,1,1.0
2015,E01000125,Overgrown/Fallen Veg/Trees,1,1,1.0
2015,E01000125,Pavement /Footway Defects,1,1,1.0
2015,E01000125,Road Surface Defects,2,2,1.0
2015,E01000125,Rubbish,1,1,1.0
2015,E01000126,Rubbish,7,2,3.5
2015,E01000127,Abandoned Vehicles,2,1,2.0
2015,E01000127,Incivilities,2,2,1.0
2015,E01000127,Overgrown/Fallen Veg/Trees,1,1,1.0
2015,E01000127,Pavement /Footway Defects,1,1,1.0
2015,E01000127,Rubbish,8,2,4.0
2015,E01000128,Abandoned Vehicles,7,3,2.3333333333333335
2015,E01000128,Highways Enquiries,2,2,1.0
2015,E01000128,Overgrown/Fallen Veg/Trees,3,2,1.5
2015,E01000128,Rubbish,4,4,1.0
2015,E01000129,Grounds Maintenance,1,1,1.0
2015,E01000129,Overgrown/Fallen Veg/Trees,2,2,1.0
2015,E01000129,Pavement /Footway Defects,2,2,1.0
2015,E01000129,Rubbish,6,4,1.5
2015,E01000130,Overgrown/Fallen Veg/Trees,2,2,1.0
2015,E01000130,Rubbish,1,1,1.0
2015,E01000131,Drainage,1,1,1.0
2015,E01000131,Road Safety,1,1,1.0
2015,E01000131,Rubbish,5,2,2.5
2015,E01000132,Abandoned Vehicles,4,1,4.0
2015,E01000132,Drainage,1,1,1.0
2015,E01000132,Highways Enquiries,2,1,2.0
2015,E01000132,Overgrown/Fallen Veg/Trees,1,1,1.0
2015,E01000132,Pavement /Footway Defects,2,2,1.0
2015,E01000132,Rubbish,42,6,7.0
2015,E01000133,Rubbish,9,2,4.5
2015,E01000134,Abandoned Vehicles,1,1,1.0
2015,E01000134,Highways Enquiries,1,1,1.0
2015,E01000134,Rubbish,2,2,1.0
2015,E01000135,Drainage,1,1,1.0
2015,E01000135,Incivilities,1,1,1.0
2015,E01000135,Rubbish,1,1,1.0
2015,E01000135,Street Lights,1,1,1.0
2015,E01000136,Drainage,1,1,1.0
2015,E01000136,Highways Enquiries,1,1,1.0
2015,E01000136,Incivilities,1,1,1.0
2015,E01000136,Pavement /Footway Defects,1,1,1.0
2015,E01000136,Road Safety,1,1,1.0
2015,E01000136,Road Surface Defects,5,4,1.25
2015,E01000136,Rubbish,3,3,1.0
2015,E01000137,Abandoned Vehicles,5,2,2.5
2015,E01000137,Rubbish,1,1,1.0
2015,E01000138,Abandoned Vehicles,1,1,1.0
2015,E01000138,Highways Enquiries,3,2,1.5
2015,E01000138,Incivilities,4,1,4.0
2015,E01000138,Overgrown/Fallen Veg/Trees,1,1,1.0
2015,E01000138,Pavement /Footway Defects,1,1,1.0
2015,E01000138,Road Surface Defects,3,1,3.0
2015,E01000138,Rubbish,4,2,2.0
2015,E01000139,Highways Enquiries,1,1,1.0
2015,E01000139,Incivilities,4,1,4.0
2015,E01000139,Pavement /Footway Defects,1,1,1.0
2015,E01000139,Road Surface Defects,2,2,1.0
2015,E01000139,Rubbish,1,1,1.0
2015,E01000140,Highways Enquiries,1,1,1.0
2015,E01000140,Pavement /Footway Defects,1,1,1.0
2015,E01000140,Road Surface Defects,2,1,2.0
2015,E01000140,Rubbish,14,4,3.5
2015,E01000141,Drainage,2,2,1.0
2015,E01000141,Highways Enquiries,4,3,1.3333333333333333
2015,E01000141,Road Surface Defects,1,1,1.0
2015,E01000141,Rubbish,17,6,2.8333333333333335
2015,E01000141,Street Lights,1,1,1.0
2015,E01000142,Drainage,1,1,1.0
2015,E01000142,Grounds Maintenance,1,1,1.0
2015,E01000142,Highways Enquiries,3,1,3.0
2015,E01000142,Pavement /Footway Defects,3,3,1.0
2015,E01000142,Rubbish,7,5,1.4
2015,E01000143,Highways Enquiries,1,1,1.0
2015,E01000143,Rubbish,3,2,1.5
2015,E01000144,Overgrown/Fallen Veg/Trees,1,1,1.0
2015,E01000144,Pavement /Footway Defects,2,2,1.0
2015,E01000144,Road Surface Defects,3,1,3.0
2015,E01000144,Rubbish,9,4,2.25
2015,E01000144,Street Lights,1,1,1.0
2015,E01000145,Drainage,2,2,1.0
2015,E01000145,Incivilities,2,1,2.0
2015,E01000145,Road Surface Defects,1,1,1.0
2015,E01000145,Rubbish,1,1,1.0
2015,E01000146,Drainage,1,1,1.0
2015,E01000146,Grounds Maintenance,1,1,1.0
2015,E01000146,Highways Enquiries,3,2,1.5
2015,E01000146,Pavement /Footway Defects,9,4,2.25
2015,E01000146,Road Surface Defects,1,1,1.0
2015,E01000146,Rubbish,11,3,3.6666666666666665
2015,E01000148,Grounds Maintenance,1,1,1.0
2015,E01000148,Road Surface Defects,1,1,1.0
2015,E01000148,Rubbish,2,2,1.0
2015,E01000150,Abandoned Vehicles,1,1,1.0
2015,E01000150,Dog Fouling,1,1,1.0
2015,E01000150,Highways Enquiries,6,4,1.5
2015,E01000150,Road Surface Defects,2,2,1.0
2015,E01000150,Rubbish,50,5,10.0
2015,E01000151,Drainage,1,1,1.0
2015,E01000151,Highways Enquiries,1,1,1.0
2015,E01000151,Rubbish,2,1,2.0
2015,E01000152,Abandoned Vehicles,2,1,2.0
2015,E01000152,Highways Enquiries,1,1,1.0
2015,E01000152,Pavement /Footway Defects,1,1,1.0
2015,E01000152,Road Surface Defects,1,1,1.0
2015,E01000152,Rubbish,1,1,1.0
2015,E01000153,Abandoned Vehicles,1,1,1.0
2015,E01000153,Incivilities,3,1,3.0
2015,E01000153,Overgrown/Fallen Veg/Trees,1,1,1.0
2015,E01000153,Rubbish,7,1,7.0
2015,E01000154,Road Surface Defects,1,1,1.0
2015,E01000155,Abandoned Vehicles,1,1,1.0
2015,E01000155,Drainage,2,2,1.0
2015,E01000155,Highways Enquiries,4,2,2.0
2015,E01000155,Road Surface Defects,16,7,2.2857142857142856
2015,E01000155,Rubbish,8,2,4.0
2015,E01000155,Street Lights,1,1,1.0
2015,E01000156,Rubbish,3,3,1.0
2015,E01000157,Road Surface Defects,1,1,1.0
2015,E01000157,Rubbish,2,1,2.0
2015,E01000158,Abandoned Vehicles,1,1,1.0
2015,E01000158,Drainage,2,1,2.0
2015,E01000158,Pavement /Footway Defects,1,1,1.0
2015,E01000158,Road Surface Defects,2,2,1.0
2015,E01000158,Rubbish,8,7,1.1428571428571428
2015,E01000158,Street Lights,3,3,1.0
2015,E01000159,Abandoned Vehicles,2,2,1.0
2015,E01000159,Drainage,1,1,1.0
2015,E01000159,Highways Enquiries,5,4,1.25
2015,E01000159,Overgrown/Fallen Veg/Trees,1,1,1.0
2015,E01000159,Pavement /Footway Defects,1,1,1.0
2015,E01000159,Road Surface Defects,3,2,1.5
2015,E01000159,Rubbish,7,6,1.1666666666666667
2015,E01000159,Street Lights,3,1,3.0
2015,E01000160,Dog Fouling,7,1,7.0
2015,E01000160,Highways Enquiries,2,1,2.0
2015,E01000160,Pavement /Footway Defects,1,1,1.0
2015,E01000160,Road Surface Defects,2,2,1.0
2015,E01000160,Rubbish,6,3,2.0
2015,E01000160,Street Lights,2,1,2.0
2015,E01000161,Abandoned Vehicles,1,1,1.0
2015,E01000161,Overgrown/Fallen Veg/Trees,1,1,1.0
2015,E01000161,Pavement /Footway Defects,1,1,1.0
2015,E01000161,Road Surface Defects,2,2,1.0
2015,E01000161,Rubbish,2,2,1.0
2015,E01000162,Abandoned Vehicles,2,2,1.0
2015,E01000162,Highways Enquiries,3,3,1.0
2015,E01000162,Overgrown/Fallen Veg/Trees,1,1,1.0
2015,E01000162,Pavement /Footway Defects,1,1,1.0
2015,E01000162,Road Safety,2,1,2.0
2015,E01000162,Street Lights,1,1,1.0
2015,E01000163,Overgrown/Fallen Veg/Trees,1,1,1.0
2015,E01000163,Rubbish,1,1,1.0
2015,E01000164,Abandoned Vehicles,1,1,1.0
2015,E01000164,Road Surface Defects,5,4,1.25
2015,E01000164,Rubbish,1,1,1.0
2015,E01000165,Abandoned Vehicles,1,1,1.0
2015,E01000165,Rubbish,1,1,1.0
2015,E01000166,Road Surface Defects,2,1,2.0
2015,E01000167,Abandoned Vehicles,1,1,1.0
2015,E01000167,Highways Enquiries,2,2,1.0
2015,E01000167,Overgrown/Fallen Veg/Trees,2,1,2.0
2015,E01000167,Pavement /Footway Defects,1,1,1.0
2015,E01000167,Rubbish,1,1,1.0
2015,E01000167,Street Lights,1,1,1.0
2015,E01000168,Highways Enquiries,1,1,1.0
2015,E01000169,Overgrown/Fallen Veg/Trees,1,1,1.0
2015,E01000169,Road Surface Defects,2,2,1.0
2015,E01000170,Abandoned Vehicles,1,1,1.0
2015,E01000170,Pavement /Footway Defects,1,1,1.0
2015,E01000170,Rubbish,1,1,1.0
2015,E01000170,Street Lights,6,2,3.0
2015,E01000171,Abandoned Vehicles,2,2,1.0
2015,E01000171,Road Surface Defects,1,1,1.0
2015,E01000171,Rubbish,2,2,1.0
2015,E01000171,Street Lights,1,1,1.0
2015,E01000172,Highways Enquiries,1,1,1.0
2015,E01000172,Overgrown/Fallen Veg/Trees,2,2,1.0
2015,E01000172,Pavement /Footway Defects,1,1,1.0
2015,E01000173,Drainage,1,1,1.0
2015,E01000173,Road Surface Defects,2,2,1.0
2015,E01000173,Street Lights,3,2,1.5
2015,E01000174,Drainage,2,2,1.0
