period,LAD,SHEF_A_CODE,report_count,user_count,average
all time,E06000013,A1,52,21,2.4761904761904763
all time,E06000013,A12,12,5,2.4
all time,E06000013,A20,48,17,2.823529411764706
all time,E06000013,A24,46,11,4.181818181818182
all time,E06000013,A28,40,2,20.0
all time,E06000013,A29,586,66,8.878787878787879
all time,E06000013,A33,82,9,9.11111111111111
all time,E06000013,A41,180,57,3.1578947368421053
all time,E06000013,A53,22,8,2.75
all time,E06000013,A54,244,53,4.60377358490566
all time,E06000013,A56,64,25,2.56
all time,E06000013,A57,134,47,2.851063829787234
all time,E06000013,A60,560,125,4.48
all time,E06000013,A63,14,3,4.666666666666667
all time,E06000013,A73,148,19,7.7894736842105265
all time,E06000013,A79,104,16,6.5
all time,E06000013,A81,814,71,11.464788732394366
all time,E06000013,A82,36,8,4.5
all time,E06000013,A83,210,16,13.125
all time,E06000013,A86,14,7,2.0
all time,E06000014,A1,104,40,2.6
all time,E06000014,A12,42,13,3.230769230769231
all time,E06000014,A20,68,22,3.090909090909091
