period,LAD,report_count,user_count,average
2017-12,E07000131,27,15,1.8
2017-12,E07000132,11,10,1.1
2017-12,E07000133,7,7,1.0
2017-12,E07000134,7,7,1.0
2017-12,E07000135,5,3,1.6666666666666667
2017-12,E07000136,6,6,1.0
2017-12,E07000137,17,14,1.2142857142857142
2017-12,E07000138,8,6,1.3333333333333333
2017-12,E07000139,19,13,1.4615384615384615
2017-12,E07000140,2,2,1.0
2017-12,E07000141,22,19,1.1578947368421053
2017-12,E07000142,11,6,1.8333333333333333
2017-12,E07000143,24,20,1.2
2017-12,E07000144,18,15,1.2
2017-12,E07000145,5,5,1.0
2017-12,E07000146,30,16,1.875
2017-12,E07000147,35,13,2.6923076923076925
2017-12,E07000148,29,16,1.8125
2017-12,E07000149,29,22,1.3181818181818181
2017-12,E07000150,1,1,1.0
2017-12,E07000151,4,3,1.3333333333333333
2017-12,E07000152,4,3,1.3333333333333333
2017-12,E07000153,9,5,1.8
2017-12,E07000154,14,10,1.4
2017-12,E07000155,5,2,2.5
2017-12,E07000156,3,3,1.0
2017-12,E07000163,4,3,1.3333333333333333
2017-12,E07000164,6,5,1.2
2017-12,E07000165,18,14,1.2857142857142858
2017-12,E07000166,1,1,1.0
2017-12,E07000167,6,6,1.0
2017-12,E07000168,5,4,1.25
2017-12,E07000169,12,10,1.2
2017-12,E07000170,3,1,3.0
2017-12,E07000171,20,11,1.8181818181818181
2017-12,E07000172,6,6,1.0
2017-12,E07000173,12,6,2.0
2017-12,E07000174,5,5,1.0
2017-12,E07000175,6,6,1.0
2017-12,E07000176,11,7,1.5714285714285714
2017-12,E07000177,214,129,1.6589147286821706
2017-12,E07000178,81,58,1.396551724137931
2017-12,E07000179,203,131,1.549618320610687
2017-12,E07000180,195,120,1.625
2017-12,E07000181,132,86,1.5348837209302326
2017-12,E07000187,44,21,2.0952380952380953
2017-12,E07000188,19,14,1.3571428571428572
2017-12,E07000189,18,15,1.2
2017-12,E07000190,8,6,1.3333333333333333
2017-12,E07000191,1,1,1.0
2017-12,E07000192,1,1,1.0
2017-12,E07000194,8,8,1.0
2017-12,E07000195,9,7,1.2857142857142858
2017-12,E07000196,2,2,1.0
2017-12,E07000197,2,2,1.0
2017-12,E07000198,1,1,1.0
2017-12,E07000199,1,1,1.0
2017-12,E07000200,8,6,1.3333333333333333
2017-12,E07000201,28,11,2.5454545454545454
2017-12,E07000202,65,14,4.642857142857143
2017-12,E07000203,9,6,1.5
2017-12,E07000204,9,9,1.0
2017-12,E07000205,39,11,3.5454545454545454
2017-12,E07000206,7,7,1.0
2017-12,E07000207,15,13,1.1538461538461537
2017-12,E07000208,7,5,1.4
2017-12,E07000209,25,23,1.0869565217391304
2017-12,E07000210,5,5,1.0
2017-12,E07000211,20,17,1.1764705882352942
2017-12,E07000212,27,22,1.2272727272727273
2017-12,E07000213,30,14,2.142857142857143
2017-12,E07000214,10,9,1.1111111111111112
2017-12,E07000215,20,17,1.1764705882352942
2017-12,E07000216,20,15,1.3333333333333333
2017-12,E07000217,20,15,1.3333333333333333
2017-12,E07000218,15,13,1.1538461538461537
2017-12,E07000219,24,12,2.0
2017-12,E07000220,43,27,1.5925925925925926
2017-12,E07000221,37,28,1.3214285714285714
2017-12,E07000222,26,17,1.5294117647058822
2017-12,E07000223,10,8,1.25
2017-12,E07000224,14,10,1.4
2017-12,E07000225,14,12,1.1666666666666667
2017-12,E07000226,9,9,1.0
2017-12,E07000227,12,11,1.0909090909090908
2017-12,E07000228,22,18,1.2222222222222223
2017-12,E07000229,9,6,1.5
2017-12,E07000234,3,3,1.0
2017-12,E07000235,4,4,1.0
2017-12,E07000236,6,5,1.2
2017-12,E07000237,3,2,1.5
2017-12,E07000238,7,7,1.0
2017-12,E07000239,5,4,1.25
2017-12,E07000240,40,30,1.3333333333333333
2017-12,E07000241,42,30,1.4
2017-12,E07000242,18,18,1.0
